Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Wrexham,Championship,"1, 2, 5, 0, 1","1, 1, 1, 0, 0",15.4,"V, N, V, N, V",N/A,23,2023,1,7,2011,2,14,2017,0,2,2017,0,17,2023,0,4,2018,2,9,2023,0,9,2017,2,5,2022,0,19,2017,2,4,2018,0,14,2021,0,5,2025,2,5,2021,0,12,2017,10
AFC Wimbledon,E2,"2, 2, 3, 1, 5","1, 0, 2, 0, 3",-0.6000000000000002,"D, D, V, N, V",N/A,11,2020,0,5,2025,0,17,2018,4,2,2023,0,16,2011,1,6,2023,0,8,2011,1,15,2024,0,4,2024,1,21,2014,0,4,2019,0,14,2022,1,6,2023,0,5,2019,1,15,2025,0
Barnsley,E2,"2, 4, 4, 1, 3","0, 1, 3, 0, 2",2.9999999999999996,"V, D, N, N, D",N/A,21,2024,1,7,2019,0,18,2019,9,2,2019,0,23,2024,1,3,2022,0,8,2025,1,8,2011,0,4,2024,0,18,2020,2,5,2011,0,19,2024,1,6,2018,0,5,2024,1,11,2022,0
Blackpool,E2,"1, 2, 3, 4, 1","0, 1, 2, 0, 0",5.4,"D, V, V, N, D",N/A,18,2012,0,5,2023,0,17,2015,8,3,2023,0,20,2012,0,8,2024,1,8,2024,0,10,2024,1,5,2023,0,18,2013,1,4,2025,0,17,2011,0,5,2021,2,8,2011,0,20,2023,2
Bolton,E2,"3, 3, 3, 1, 4","3, 1, 1, 0, 2",17.4,"V, V, V, D, V",N/A,16,2021,3,5,2023,2,18,2016,0,2,2020,0,25,2012,1,5,2017,0,8,2011,1,13,2018,0,6,2015,1,20,2016,0,4,2025,0,13,2017,1,6,2014,0,7,2015,1,13,2022,0
Bradford,E2,"4, 4, 2, 0, 3","1, 3, 2, 0, 2",0.6000000000000003,"D, N, N, N, N",N/A,17,2023,1,5,2025,0,18,2011,1,2,2023,0,13,2018,1,5,2025,0,8,2018,1,10,2010,0,4,2025,0,16,2020,3,5,2016,0,14,2019,1,6,2022,0,4,2025,1,14,2023,0
Burton,E2,"1, 1, 4, 3, 1","0, 0, 0, 2, 0",13.8,"V, V, N, V, D",N/A,18,2011,4,4,2022,1,28,2021,0,3,2022,0,17,2012,0,5,2023,1,8,2024,0,14,2014,1,5,2011,0,27,2014,2,6,2011,0,15,2019,0,5,2014,1,5,2021,0,20,2014,1
Cardiff,E2,"1, 7, 3, 1, 4","0, 2, 1, 0, 0",-0.20000000000000018,"D, D, V, V, D",N/A,24,2013,1,5,2025,0,25,2022,5,2,2022,0,19,2025,1,5,2015,0,10,2012,1,8,2023,0,4,2015,1,24,2013,0,4,2022,0,14,2022,0,5,2015,2,4,2023,0,17,2013,3
Doncaster,E2,"4, 3, 2, 3, 3","2, 1, 0, 2, 1",-6.6000000000000005,"D, D, N, D, D",N/A,24,2024,4,4,2024,0,16,2016,10,2,2018,0,21,2019,6,5,2018,0,8,2024,2,8,2023,0,6,2024,0,15,2018,4,4,2018,0,15,2024,2,10,2018,0,4,2024,0,16,2011,1
Exeter,E2,"2, 1, 2, 2, 3","2, 1, 1, 1, 1",1.0,"D, N, V, D, N",N/A,18,2024,3,5,2024,0,15,2025,2,3,2021,0,17,2012,3,4,2019,0,10,2012,1,7,2025,0,4,2023,0,27,2014,14,4,2021,0,15,2011,5,6,2019,0,4,2021,0,10,2025,4
Huddersfield,E2,"1, 3, 3, 3, 4","1, 1, 1, 1, 1",3.0,"V, D, D, D, V",N/A,15,2016,1,5,2011,0,19,2019,4,2,2022,0,20,2016,4,3,2022,0,7,2013,4,10,2018,0,3,2025,1,17,2023,0,4,2015,0,18,2022,5,5,2017,0,5,2013,0,12,2020,6
